Brand,Metric,Region,Year,Value
BK,Operating Income,Global,2021,932.0
BK,Operating Income,US,2023,386.0
BK,Operating Income,US,2022,396.0
BK,Operating Income,US,2021,421.0
BK,Revenue,US,2023,392.0
BK,Revenue,US,2022,296.0
BK,Revenue,US,2021,211.0
BK,Revenue,US,2023,1216.0
BK,Revenue,US,2022,1171.0
BK,Revenue,US,2021,1130.0
BK,Revenue,US,2023,229.0
BK,Revenue,US,2022,221.0
BK,Revenue,US,2021,212.0
BK,Revenue,US,2023,495.0
BK,Revenue,US,2022,438.0
BK,Revenue,US,2021,400.0
BK,Depreciation_Us_Canada,US,2023,46.0
BK,Depreciation_Us_Canada,US,2022,45.0
BK,Depreciation_Us_Canada,US,2021,44.0
BK,Capex_Us_Canada,US,2023,37.0
BK,Capex_Us_Canada,US,2022,31.0
BK,Capex_Us_Canada,US,2021,13.0
BK,Brand_Value,Global,2023,2107.0
BK,Brand_Value,Global,2022,2088.0
BK,Goodwill,Global,2023,485.0
BK,Goodwill,Global,2022,480.0
BK,Remodel_Investment_2023,US,2023,44.0
BK,Digital_Investment_2023,US,2023,60.0
